SM1     7-es mik8-as mikrometer
SM101      3.38    1.93 00000074_00000004EBF2C1A9_243513453.bmp
SM102      3.38    1.93 00000075_00000004FA49DB06_243628765.bmp
SM103      3.38    1.93 00000076_00000005015C65CA_243685968.bmp
SM104      3.38    1.93 00000077_00000005076ADC9F_243734750.bmp
SM105      3.38    1.93 00000078_000000050EFF715A_243795546.bmp
SM106      3.38    1.93 00000079_000000051611FC1E_243852671.bmp
SM107      3.38    1.93 00000080_000000051BD06CD0_243899000.bmp
SM103      3.88    1.93 00000082_0000000547F7CF1B_244254593.bmp
SM103      4.38    1.93 00000083_000000054C4E2433_244289468.bmp
SM103      2.88    1.93 00000084_0000000552029420_244335312.bmp
SM103      2.38    1.93 00000085_0000000556EEF4B8_244375000.bmp
SM103      3.38    1.93 00000086_000000055BA9517A_244412984.bmp
SM103      3.38    1.43 00000087_0000000566EA2E43_244503640.bmp
SM103      3.38    0.93 00000088_000000056C949D6C_244549171.bmp
SM103      3.38    2.43 00000089_0000000572D51815_244599781.bmp
SM103      3.38    2.93 00000090_0000000578117ECF_244641718.bmp
SM103      3.38    1.93 00000091_000000057D93EAE7_244686078.bmp
