SM2     9-es mic10-es micrometer
SM201      3.24    3.07 00000092_00000005ACDB8A82_245066812.bmp
SM202      3.24    3.07 00000093_00000005B32605EF_245117484.bmp
SM203      3.24    3.07 00000094_00000005B7F4643A_245156343.bmp
SM204      3.24    3.07 00000095_00000005BD58CE05_245199750.bmp
SM205      3.24    3.07 00000096_00000005C26330EA_245240328.bmp
SM206      3.24    3.07 00000097_00000005C763930B_245280484.bmp
SM207      3.24    3.07 00000098_00000005CB19DBDF_245310484.bmp
SM203      3.74    3.07 00000103_00000005F8D15CD1_245678750.bmp
SM203      2.74    3.07 00000105_0000000601C40C5F_245750546.bmp
SM203      2.24    3.07 00000106_0000000607D28333_245799593.bmp
SM203      3.24    3.07 00000107_000000060C00D53A_245833093.bmp
SM203      3.24    3.57 00000108_00000006110B381F_245873625.bmp
SM203      3.24    4.07 00000109_000000061593910D_245910156.bmp
SM203      3.24    2.57 00000110_000000061ACFF7C7_245952406.bmp
SM203      3.24    2.07 00000111_000000061ED646BE_245984906.bmp
SM203      3.24    3.07 00000112_0000000629090ED4_246067015.bmp
